period_start,join_fin_year,country,age_bracket,n
2021-01-01,2021,Australia,,18628
2021-01-01,2021,Australia,0-17,22
2021-01-01,2021,Australia,18-24,62
2021-01-01,2021,Australia,25-34,189
2021-01-01,2021,Australia,35-39,91
2021-01-01,2021,Australia,40-54,183
2021-01-01,2021,Australia,55-64,57
2021-01-01,2021,Australia,65+,17
2021-01-01,2021,New Zealand,,8665
2021-01-01,2021,New Zealand,0-17,13
2021-01-01,2021,New Zealand,18-24,30
2021-01-01,2021,New Zealand,25-34,119
2021-01-01,2021,New Zealand,35-39,60
2021-01-01,2021,New Zealand,40-54,108
2021-01-01,2021,New Zealand,55-64,36
2021-01-01,2021,New Zealand,65+,9
2021-01-01,2021,United Kingdom,,201
2021-01-01,2021,United Kingdom,18-24,1
2021-01-01,2021,United Kingdom,35-39,2
2021-01-01,2021,United Kingdom,40-54,2
2021-01-01,2021,United Kingdom,65+,1
2021-01-01,2021,United States,,26
2021-01-01,2021,United States,35-39,1
2021-01-01,2021,United States,40-54,1
2021-01-01,2021,United States,65+,1
2021-02-01,2021,Australia,,18899
2021-02-01,2021,Australia,0-17,13
2021-02-01,2021,Australia,18-24,61
2021-02-01,2021,Australia,25-34,115
2021-02-01,2021,Australia,35-39,62
2021-02-01,2021,Australia,40-54,155
2021-02-01,2021,Australia,55-64,41
2021-02-01,2021,Australia,65+,22
2021-02-01,2021,New Zealand,,6723
2021-02-01,2021,New Zealand,0-17,3
2021-02-01,2021,New Zealand,18-24,46
2021-02-01,2021,New Zealand,25-34,80
2021-02-01,2021,New Zealand,35-39,39
2021-02-01,2021,New Zealand,40-54,70
2021-02-01,2021,New Zealand,55-64,22
2021-02-01,2021,New Zealand,65+,9
2021-02-01,2021,United Kingdom,,87
2021-02-01,2021,United Kingdom,0-17,1
2021-02-01,2021,United Kingdom,25-34,1
2021-02-01,2021,United States,,31
2021-02-01,2021,United States,25-34,1
2021-02-01,2021,United States,55-64,1
2021-03-01,2021,Australia,,25263
2021-03-01,2021,Australia,0-17,31
2021-03-01,2021,Australia,18-24,72
2021-03-01,2021,Australia,25-34,209
2021-03-01,2021,Australia,35-39,138
2021-03-01,2021,Australia,40-54,242
2021-03-01,2021,Australia,55-64,81
2021-03-01,2021,Australia,65+,28
2021-03-01,2021,New Zealand,,6927
2021-03-01,2021,New Zealand,0-17,6
2021-03-01,2021,New Zealand,18-24,31
2021-03-01,2021,New Zealand,25-34,92
2021-03-01,2021,New Zealand,35-39,47
2021-03-01,2021,New Zealand,40-54,73
2021-03-01,2021,New Zealand,55-64,22
2021-03-01,2021,New Zealand,65+,8
2021-03-01,2021,United Kingdom,,65
2021-03-01,2021,United Kingdom,0-17,1
2021-03-01,2021,United Kingdom,18-24,1
2021-03-01,2021,United Kingdom,40-54,1
2021-03-01,2021,United Kingdom,55-64,1
2021-03-01,2021,United Kingdom,65+,1
2021-03-01,2021,United States,,24
2021-03-01,2021,United States,40-54,1
2021-04-01,2021,Australia,,43539
2021-04-01,2021,Australia,0-17,65
2021-04-01,2021,Australia,18-24,225
2021-04-01,2021,Australia,25-34,589
2021-04-01,2021,Australia,35-39,312
2021-04-01,2021,Australia,40-54,572
2021-04-01,2021,Australia,55-64,178
2021-04-01,2021,Australia,65+,50
2021-04-01,2021,New Zealand,,10466
2021-04-01,2021,New Zealand,0-17,17
2021-04-01,2021,New Zealand,18-24,57
2021-04-01,2021,New Zealand,25-34,181
2021-04-01,2021,New Zealand,35-39,78
2021-04-01,2021,New Zealand,40-54,141
2021-04-01,2021,New Zealand,55-64,43
2021-04-01,2021,New Zealand,65+,16
2021-04-01,2021,United Kingdom,,78
2021-04-01,2021,United Kingdom,18-24,1
2021-04-01,2021,United Kingdom,55-64,1
2021-04-01,2021,United Kingdom,65+,2
2021-04-01,2021,United States,,22
2021-04-01,2021,United States,40-54,1
2021-05-01,2021,Australia,,64035
2021-05-01,2021,Australia,0-17,63
2021-05-01,2021,Australia,18-24,235
2021-05-01,2021,Australia,25-34,555
2021-05-01,2021,Australia,35-39,288
2021-05-01,2021,Australia,40-54,559
2021-05-01,2021,Australia,55-64,215
2021-05-01,2021,Australia,65+,97
2021-05-01,2021,New Zealand,,15123
2021-05-01,2021,New Zealand,0-17,21
2021-05-01,2021,New Zealand,18-24,101
2021-05-01,2021,New Zealand,25-34,261
2021-05-01,2021,New Zealand,35-39,109
2021-05-01,2021,New Zealand,40-54,208
2021-05-01,2021,New Zealand,55-64,48
2021-05-01,2021,New Zealand,65+,12
2021-05-01,2021,United Kingdom,,51
2021-05-01,2021,United Kingdom,35-39,1
2021-05-01,2021,United Kingdom,40-54,1
2021-05-01,2021,United Kingdom,55-64,2
2021-05-01,2021,United Kingdom,65+,1
2021-05-01,2021,United States,,30
2021-06-01,2021,Australia,,52246
2021-06-01,2021,Australia,0-17,51
2021-06-01,2021,Australia,18-24,196
2021-06-01,2021,Australia,25-34,507
2021-06-01,2021,Australia,35-39,293
2021-06-01,2021,Australia,40-54,516
2021-06-01,2021,Australia,55-64,147
2021-06-01,2021,Australia,65+,63
2021-06-01,2021,New Zealand,,10151
2021-06-01,2021,New Zealand,0-17,20
2021-06-01,2021,New Zealand,18-24,80
2021-06-01,2021,New Zealand,25-34,165
